1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
6853 :  tfgwwz              , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.9
6854 :  wawaperson          , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.0
6855 :  vision-sigtedism    , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.2
6856 :  DoMiSolSolLa        , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.1
6857 :  runchengys          , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.7
6858 :  GzploveNzx          , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
6859 :  zxr147258           , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.3
6860 :  Sa1nt_Diana         , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 2.8, 游玩时长(小时): 0.1
6861 :  tomasson9           , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.9
6862 :  thebestsolo121      , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.4
6863 :  trgyszm3i4n1        , 积分： 109.94  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.2
6864 :  CNAnnia             , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.2
6865 :  zsyforever          , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
6866 :  geupjja             , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.6
6867 :  xusuyi              , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.2
6868 :  fgfxcbvfdg          , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.3
6869 :  zzzajiangkao        , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
6870 :  Andrew1008611       , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.0
6871 :  Ensou04             , 积分： 109.92  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.4
6872 :  2312724637          , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.7
6873 :  rfhitg              , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6874 :  csegh               , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.5
6875 :  Feng_Xian_zai       , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
6876 :  Andergp09           , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.1
6877 :  fum007              , 积分： 109.91  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.1
6878 :  tangelo1            , 积分： 109.90  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 0.1
6879 :  CAYGL11             , 积分： 109.90  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.2
6880 :  bancangyun          , 积分： 109.90  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6881 :  jingchi123          , 积分： 109.90  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
6882 :  chuxia005           , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.2
6883 :  TangJLin            , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.8
6884 :  xiaojibateda        , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 1.0
6885 :  ggboy129885         , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.5
6886 :  potetoking2033      , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.7
6887 :  ChunXQD125          , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.6
6888 :  DiCaBiAo            , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.5
6889 :  JBSL2022            , 积分： 109.89  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.1
6890 :  123456789000202     , 积分： 109.88  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.7
6891 :  o9otv6xhpg84        , 积分： 109.88  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
6892 :  DependOnYourself    , 积分： 109.88  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.0
6893 :  HaoEnder            , 积分： 109.88  (单日浮动：  9.88), 赛季kpm: 0.4, 游玩时长(小时): 1.1
6894 :  A1luren198904       , 积分： 109.88  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.2
6895 :  eriyi25468          , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.3
6896 :  walkerlenkc         , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.0
6897 :  wangzihao1122       , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 3.9, 游玩时长(小时): 0.1
6898 :  LIYIHAN420          , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.0
6899 :  ChoiJiWoong327      , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 0.3
6900 :  Qianhan             , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.4
6901 :  muyun2021           , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.1
6902 :  yezhi2022           , 积分： 109.87  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.9
6903 :  Swx114              , 积分： 109.86  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.3
6904 :  eizyq8epvbcp        , 积分： 109.86  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6905 :  dimakuta183         , 积分： 109.86  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
6906 :  DirtyDuy            , 积分： 109.85  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
6907 :  yileinan            , 积分： 109.85  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.7
6908 :  slow_ttt            , 积分： 109.85  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
6909 :  KK177776            , 积分： 109.85  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.1
6910 :  lucifer270          , 积分： 109.85  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
6911 :  yu521970            , 积分： 109.84  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.7
6912 :  xiaziabing          , 积分： 109.84  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.6
6913 :  YANFANNB            , 积分： 109.84  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
6914 :  jab_lhy             , 积分： 109.84  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
6915 :  fzx520137           , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.3
6916 :  Hypocritezl         , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.9
6917 :  jinitaimeiasdf      , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.0
6918 :  Emiya_xue           , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.0
6919 :  puchunyu            , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.2
6920 :  AshsGreninja        , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.3
6921 :  ikokomi             , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.7
6922 :  JETDANIAL           , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 0.3
6923 :  replaynbm           , 积分： 109.83  (单日浮动：  0.00), 赛季kpm: 3.7, 游玩时长(小时): 0.1
6924 :  sdssjk61626         , 积分： 109.82  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.7
6925 :  bukaitanke          , 积分： 109.82  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.4
6926 :  dnm13177215489      , 积分： 109.82  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.7
6927 :  budinghaha          , 积分： 109.81  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.7
6928 :  zh6129              , 积分： 109.81  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.8
6929 :  uwjfufivnfjf        , 积分： 109.81  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.8
6930 :  Jayxiao0817         , 积分： 109.80  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6931 :  archerruler         , 积分： 109.80  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
6932 :  whudihq             , 积分： 109.80  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.8
6933 :  wjf18341            , 积分： 109.80  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6934 :  ssbeanimasile       , 积分： 109.80  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.4
6935 :  gjsh0608            , 积分： 109.79  (单日浮动：  9.79), 赛季kpm: 0.7, 游玩时长(小时): 1.0
6936 :  yte05rcmoyai        , 积分： 109.79  (单日浮动：  2.80), 赛季kpm: 0.8, 游玩时长(小时): 0.6
6937 :  4lkio               , 积分： 109.79  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.3
6938 :  HungHope            , 积分： 109.79  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.6
6939 :  Eliez               , 积分： 109.79  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
6940 :  YOURMOMTERMINATO    , 积分： 109.78  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.9
6941 :  XQQ0107             , 积分： 109.78  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.6
6942 :  lxz1996             , 积分： 109.77  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.8
6943 :  ECHOMOTOR           , 积分： 109.77  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
6944 :  OCuteSaberO         , 积分： 109.77  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
6945 :  night2163           , 积分： 109.77  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.2
6946 :  zhoujunqi123        , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.2
6947 :  sanagi-san3         , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6948 :  hdjvdj              , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.2
6949 :  zhishi_panda        , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6950 :  RathalosArthemis    , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.1
6951 :  zyk24993            , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.1
6952 :  wunsher             , 积分： 109.76  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
6953 :  likeying2020        , 积分： 109.75  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.3
6954 :  ksxiaojiang         , 积分： 109.75  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.2
6955 :  gjwcrp25e9d1        , 积分： 109.74  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.1
6956 :  resjqctx6a08        , 积分： 109.74  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6957 :  chansys             , 积分： 109.74  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6958 :  san_wk1             , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.2
6959 :  lt2920              , 积分： 109.73  (单日浮动：  9.73), 赛季kpm: 0.1, 游玩时长(小时): 1.1
6960 :  jyggyy              , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.4
6961 :  Aa115632            , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.6
6962 :  wobushifw           , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 0.2
6963 :  hickey2077          , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
6964 :  dyyuydshy           , 积分： 109.73  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.3
6965 :  xdycyf              , 积分： 109.73  (单日浮动：  9.73), 赛季kpm: 0.9, 游玩时长(小时): 0.7
6966 :  ISO-9606            , 积分： 109.72  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.3
6967 :  1461453120          , 积分： 109.72  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6968 :  XIEBINGHUA          , 积分： 109.72  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.9
6969 :  yemenfjiade         , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.2
6970 :  2233NOZOMI          , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.6
6971 :  3249934885          , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.6
6972 :  3492843417          , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6973 :  xzy20050309         , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.3
6974 :  sys_cooll           , 积分： 109.71  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.4
6975 :  TWJ20200703         , 积分： 109.70  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
6976 :  Ww1332526           , 积分： 109.70  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
6977 :  kagangbia           , 积分： 109.70  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6978 :  Soumenntabetai_a    , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.9
6979 :  hbsbvghs            , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.9
6980 :  waidaqq             , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.6
6981 :  skydancecn          , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
6982 :  sncs362df           , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
6983 :  P_bibi              , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.4
6984 :  Yanxuaye            , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.8
6985 :  luohanjin           , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.2
6986 :  CKghdvc             , 积分： 109.69  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.5
6987 :  ID4dsg              , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.0
6988 :  Violettim           , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.1
6989 :  Wenyan229           , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.8
6990 :  487453jh13          , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
6991 :  WQDZ1234            , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.3
6992 :  clllll_fczx         , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.2
6993 :  HighMan174QD        , 积分： 109.68  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
6994 :  1e2v3l9dq6n7        , 积分： 109.67  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.1
6995 :  cstasy              , 积分： 109.67  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.6
6996 :  2006zbw             , 积分： 109.67  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.7
6997 :  HaoKe365            , 积分： 109.67  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.0
6998 :  McQueeeeeeeeeen     , 积分： 109.67  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
6999 :  fanlu2008           , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 0.2
7000 :  zhanjiduijue        , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
7001 :  chengyingzi         , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.7
7002 :  1652604603          , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
7003 :  Satou_chandayo      , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
7004 :  Sandw1ich           , 积分： 109.66  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.7
7005 :  CCMonkeySun         , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.7
7006 :  caesarsalad1990     , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
7007 :  TheDdDys            , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
7008 :  1710151216          , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
7009 :  wssb12546           , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
7010 :  wcx6234             , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.2
7011 :  ysj728              , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
7012 :  wweksl              , 积分： 109.65  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.8
7013 :  jimo1551            , 积分： 109.64  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
7014 :  eyelids             , 积分： 109.64  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
7015 :  wotfk2              , 积分： 109.64  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.4
7016 :  aubreysasa          , 积分： 109.64  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.5
7017 :  2eegh               , 积分： 109.64  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.3
7018 :  kjxna               , 积分： 109.63  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
7019 :  xhrlzy              , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.6
7020 :  YouAreMySoldier     , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 0.2
7021 :  alengther           , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.8
7022 :  Ckhalil             , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.5
7023 :  hk416hjb            , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
7024 :  Chrisclsdo          , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.4
7025 :  stay070             , 积分： 109.62  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 0.3
7026 :  sp18626             , 积分： 109.61  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.9
7027 :  2z1h6hj2z86b        , 积分： 109.61  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 1.0
7028 :  R0mAnT1c-xD         , 积分： 109.61  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.6
7029 :  2951777845          , 积分： 109.61  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.4
7030 :  467988qq            , 积分： 109.60  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.4
7031 :  KurfurstSuzuran     , 积分： 109.60  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
7032 :  Blitzeta            , 积分： 109.60  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
7033 :  fhvvgh              , 积分： 109.60  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.6
7034 :  hualixunuan         , 积分： 109.60  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
7035 :  OnayLy              , 积分： 109.59  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.7
7036 :  SuzuMiyaHaruna      , 积分： 109.59  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.1
7037 :  2541558             , 积分： 109.59  (单日浮动：  9.59), 赛季kpm: 0.6, 游玩时长(小时): 0.4
7038 :  18nfi87622y6        , 积分： 109.58  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.1
7039 :  alize4              , 积分： 109.58  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
7040 :  unawar              , 积分： 109.58  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.2
7041 :  MAgong411           , 积分： 109.58  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.5
7042 :  DONGLI6             , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.0
7043 :  RarE57631           , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.4
7044 :  plmoknijb6          , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
7045 :  Ay_Rainbow          , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.9
7046 :  suhexxy             , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 0.2
7047 :  1985664             , 积分： 109.57  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
7048 :  ge_ki5014           , 积分： 109.56  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
7049 :  Amonconcker         , 积分： 109.56  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.8
7050 :  7900GTO             , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.3
7051 :  wllllzzl            , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.0
7052 :  supermanvvvm        , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.0
7053 :  dpa5dawj47v4        , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.2
7054 :  MasTei2BleND        , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
7055 :  KcXing              , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.3
7056 :  leijunjie9578       , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.0
7057 :  aizibo              , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 0.1
7058 :  UI1010              , 积分： 109.55  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 0.2
7059 :  KirtoAsuna1314      , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.9
7060 :  Charle22123         , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.8
7061 :  lzlmq               , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.1
7062 :  NKVD_Yagoda         , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 0.2
7063 :  chenfcbayern        , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.5
7064 :  Carl_QY_666         , 积分： 109.54  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
7065 :  919929597           , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.0
7066 :  anzigwc             , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.0
7067 :  Musacheng           , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 0.1
7068 :  gongkaifa           , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.0
7069 :  sdajklfnjksdfnv     , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.8
7070 :  yuban0216           , 积分： 109.53  (单日浮动：  9.53), 赛季kpm: 0.7, 游玩时长(小时): 0.4
7071 :  suyuwa              , 积分： 109.53  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.8
7072 :  ltilxy              , 积分： 109.52  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.1
7073 :  OVO_726             , 积分： 109.52  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.2
7074 :  YANGLDRS            , 积分： 109.52  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
7075 :  dream11469          , 积分： 109.52  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.4
7076 :  CAliksda            , 积分： 109.52  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
