1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
70   :  Lum1ne5cence        , 积分： 530.93  (单日浮动： -8.58), 赛季kpm: 1.6, 游玩时长(小时): 76.1
71   :  danteaman           , 积分： 526.85  (单日浮动： 38.03), 赛季kpm: 2.4, 游玩时长(小时): 10.3
72   :  YouAreMyTianTian    , 积分： 526.65  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 10.1
73   :  alllive1024         , 积分： 523.02  (单日浮动： -8.40), 赛季kpm: 1.7, 游玩时长(小时): 46.6
74   :  FPS_illions         , 积分： 518.36  (单日浮动： 17.30), 赛季kpm: 1.8, 游玩时长(小时): 10.0
75   :  Xianyu_King_OVO     , 积分： 517.35  (单日浮动： 17.76), 赛季kpm: 2.0, 游玩时长(小时): 11.6
76   :  KNG-kyy             , 积分： 516.35  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 9.0
77   :  killerLRYNB         , 积分： 515.17  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 17.1
78   :  dingxiong990301     , 积分： 511.40  (单日浮动：195.93), 赛季kpm: 3.4, 游玩时长(小时): 5.7
79   :  YukoYoshida_o       , 积分： 508.81  (单日浮动：  0.00), 赛季kpm: 3.5, 游玩时长(小时): 5.7
80   :  ZzZPaperZzZ         , 积分： 508.39  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 8.3
81   :  zhen-can-nian       , 积分： 505.14  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 12.3
82   :  -BestHeCaiJuan-     , 积分： 504.70  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 68.9
83   :  Liquidnitr0         , 积分： 503.38  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 7.8
84   :  Deserve2bAlone      , 积分： 502.59  (单日浮动：  0.00), 赛季kpm: 3.7, 游玩时长(小时): 6.3
85   :  -Lagrang3-F         , 积分： 499.85  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 10.0
86   :  uniformRod          , 积分： 495.41  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 8.4
87   :  BackToSummer        , 积分： 494.84  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 34.4
88   :  AreYouGenshinPRO    , 积分： 492.98  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 14.7
89   :  NEWPACKOHYEAH       , 积分： 492.57  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 11.6
90   :  Tro1kas             , 积分： 491.58  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 8.1
91   :  RUNnnn1             , 积分： 489.54  (单日浮动： 41.36), 赛季kpm: 2.9, 游玩时长(小时): 7.2
92   :  Nostaigla           , 积分： 487.67  (单日浮动： 14.53), 赛季kpm: 2.1, 游玩时长(小时): 11.2
93   :  PakoKuusta          , 积分： 483.85  (单日浮动： 42.08), 赛季kpm: 3.9, 游玩时长(小时): 5.3
94   :  kurukuru-kururln    , 积分： 482.80  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 6.6
95   :  --DDsRabb1t         , 积分： 481.13  (单日浮动： 17.84), 赛季kpm: 2.1, 游玩时长(小时): 9.5
